phylum	bin	dnds
Acidobacteriota	SPAdes-MaxBin2Refined-S15.004_sub	0.292769802365571
Acidobacteriota	SPAdes-MaxBin2Refined-S15.021_sub	0.341272066161598
Acidobacteriota	SPAdes-MaxBin2Refined-S15.026_sub	0.261574875265611
Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	2.94139079795534
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	1.05648102646342
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.50_sub	0.339383174024136
Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	2.2873522400039
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	1.59433784395227
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	1.98584105782083
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	2.03516199929137
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	1.81991092761869
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	2.25579278862843
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	0.8544880410365
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	2.28812996767561
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	1.14330681533282
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	2.9722107167099
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	2.6484630583572
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.49	4.2858739032454
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	2.42348195134546
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	4.15458969044369
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	1.05960914803466
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	2.02027351775369
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	1.77823637030884
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	4.70293678487465
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.72	4.46349790411609
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	2.00562659803556
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	1.5808618691202
Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	1.59830200878904
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	4.03262344591529
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	1.93550595072123
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	3.08948091014774
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	1.8707991749524
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	3.12694624539014
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	4.47625129606451
Proteobacteria	SPAdes-MaxBin2Refined-S15.010	0.315851577579256
Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	1.28720873986861
Proteobacteria	SPAdes-MaxBin2Refined-S15.033_sub	0.316970645894942
Proteobacteria	SPAdes-MaxBin2Refined-S15.057_sub	0.351798407477322
Proteobacteria	SPAdes-MaxBin2Refined-S15.064_sub	0.523968659345644
Proteobacteria	SPAdes-MaxBin2Refined-S15.065_sub	0.303932056844652
Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	1.01373285605522
Proteobacteria	SPAdes-MetaBAT2Refined-S15.27	0.31533437927046
Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	2.39655668868424
Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	1.5827142677337
