phylum	bin	dnds_all	dnds_s15
Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	0.161916833388326	0.303811574873899
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	0.0933288116451417	0.171600443204086
Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	0.183030709027961	0.34328489041227
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	0.172502185322206	0.345076191644179
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	0.163927209821222	0.327791564906665
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	0.130932219377249	0.229045277809455
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	0.0907898800181022	0.206720536526375
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	0.170474086096645	0.292161698163642
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	0.180807462468826	0.363046099550601
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	0.195812899792153	0.312623250975329
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.49	0.185430120387337	0.32972680033826
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	0.175366281553513	0.308004463839496
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	0.178318837312222	0.273675243757215
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	0.124482438637539	0.236313573013787
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	0.185440104346284	0.288110216031202
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	0.184404724003396	0.402942517796761
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.72	0.182222590129031	0.32714883617203
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	0.167578711706146	0.32439461454324
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	0.129306015949208	0.306224258514016
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	0.16311802877166	0.269963857719614
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	0.181523236377844	0.2740526372964
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	0.22390113508954	0.374673587417316
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	0.160033262714481	0.298011043008393
Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	0.108465655723317	0.255511819281382
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	0.193036048232701	0.274258685607451
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	0.202364582565079	0.351481734271907
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	0.148391417303836	0.270036480807314
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	0.14906205525607	0.201462583547893
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	0.251458975853312	0.418335115245597
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	0.250407057361391	0.374761972769185
Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	0.0689613662414982	0.235699549680206
Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	0.149667306803437	0.217692406828507
Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	0.122967684522235	0.365352762738377
Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	0.0616571331677212	0.254466424137832
Acidobacteriota	SPAdes-MaxBin2Refined-S15.004_sub	0.292769802365571	0.292769802365571
Acidobacteriota	SPAdes-MaxBin2Refined-S15.021_sub	0.341272066161598	0.341272066161598
Acidobacteriota	SPAdes-MaxBin2Refined-S15.026_sub	0.261574875265611	0.261574875265611
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.50_sub	0.339383174024136	0.339383174024136
Proteobacteria	SPAdes-MaxBin2Refined-S15.010	0.315851577579256	0.315851577579256
Proteobacteria	SPAdes-MaxBin2Refined-S15.033_sub	0.316970645894942	0.316970645894942
Proteobacteria	SPAdes-MaxBin2Refined-S15.057_sub	0.351798407477322	0.351798407477322
Proteobacteria	SPAdes-MaxBin2Refined-S15.064_sub	0.523968659345644	0.523968659345644
Proteobacteria	SPAdes-MaxBin2Refined-S15.065_sub	0.303932056844652	0.303932056844652
Proteobacteria	SPAdes-MetaBAT2Refined-S15.27	0.31533437927046	0.31533437927046
