bin	dnds_bcf	phylum	dnds_is95
SPAdes-MaxBin2Refined-S15.004_sub	0.391653723061685	Acidobacteriota	0.292769802365571
SPAdes-MaxBin2Refined-S15.021_sub	0.571818232621969	Acidobacteriota	0.341272066161598
SPAdes-MaxBin2Refined-S15.026_sub	0.439809717384405	Acidobacteriota	0.261574875265611
SPAdes-MaxBin2Refined-S15.037_sub	0.424127768796407	Acidobacteriota	0.303811574873899
SPAdes-MetaBAT2Refined-S15.38	0.186298438510632	Acidobacteriota	0.171600443204086
SPAdes-MetaBAT2Refined-S15.50_sub	0.44163388601908	Acidobacteriota	0.339383174024136
SPAdes-MaxBin2Refined-S15.034_sub	0.510756452470711	Actinobacteriota	0.34328489041227
SPAdes-MetaBAT2Refined-S15.11	0.461347433565028	Actinobacteriota	0.327791564906665
SPAdes-MetaBAT2Refined-S15.14	0.569856251222134	Actinobacteriota	0.269963857719614
SPAdes-MetaBAT2Refined-S15.18	0.527320344896294	Actinobacteriota	0.345076191644179
SPAdes-MetaBAT2Refined-S15.19	0.326802555360392	Actinobacteriota	0.229045277809455
SPAdes-MetaBAT2Refined-S15.20	0.569320249496442	Actinobacteriota	0.298011043008393
SPAdes-MetaBAT2Refined-S15.22	0.551158326995318	Actinobacteriota	0.206720536526375
SPAdes-MetaBAT2Refined-S15.26	1.05414792072179	Actinobacteriota	0.292161698163642
SPAdes-MetaBAT2Refined-S15.42_sub	0.690707383976681	Actinobacteriota	0.363046099550601
SPAdes-MetaBAT2Refined-S15.44_sub	0.583887330802156	Actinobacteriota	0.312623250975329
SPAdes-MetaBAT2Refined-S15.45	0.842277735036318	Actinobacteriota	0.374673587417316
SPAdes-MetaBAT2Refined-S15.49	1.6441769830309	Actinobacteriota	0.32972680033826
SPAdes-MetaBAT2Refined-S15.5	0.522158205117451	Actinobacteriota	0.308004463839496
SPAdes-MetaBAT2Refined-S15.51	0.560732759086638	Actinobacteriota	0.273675243757215
SPAdes-MetaBAT2Refined-S15.56	0.42854630794151	Actinobacteriota	0.236313573013787
SPAdes-MetaBAT2Refined-S15.57	0.491772267560849	Actinobacteriota	0.288110216031202
SPAdes-MetaBAT2Refined-S15.68	0.628562548807836	Actinobacteriota	0.2740526372964
SPAdes-MetaBAT2Refined-S15.69	0.498218839746441	Actinobacteriota	0.402942517796761
SPAdes-MetaBAT2Refined-S15.72	0.852303290833643	Actinobacteriota	0.32714883617203
SPAdes-MetaBAT2Refined-S15.73	0.68775870752545	Actinobacteriota	0.32439461454324
SPAdes-MetaBAT2Refined-S15.74	0.468636898684008	Actinobacteriota	0.306224258514016
SPAdes-MetaBAT2Refined-S15.67	0.727817849889627	Dormibacterota	0.255511819281382
SPAdes-MetaBAT2Refined-S15.13	0.638596656185564	Firmicutes_E	0.274258685607451
SPAdes-MetaBAT2Refined-S15.46	0.70557057189947	Firmicutes_E	0.351481734271907
SPAdes-MetaBAT2Refined-S15.61	0.44583097434405	Firmicutes_E	0.270036480807314
SPAdes-MetaBAT2Refined-S15.62	0.561112254399698	Firmicutes_E	0.201462583547893
SPAdes-MaxBin2Refined-S15.001_sub	0.626208146900327	Nitrospirota_A	0.374761972769185
SPAdes-MaxBin2Refined-S15.043_sub	0.323002586453831	Nitrospirota_A	0.418335115245597
SPAdes-MaxBin2Refined-S15.010	0.505415634124446	Proteobacteria	0.315851577579256
SPAdes-MaxBin2Refined-S15.019_sub	0.468389471181765	Proteobacteria	0.254466424137832
SPAdes-MaxBin2Refined-S15.033_sub	0.61751734672625	Proteobacteria	0.316970645894942
SPAdes-MaxBin2Refined-S15.057_sub	0.934427939324088	Proteobacteria	0.351798407477322
SPAdes-MaxBin2Refined-S15.064_sub	0.509133780805004	Proteobacteria	0.523968659345644
SPAdes-MaxBin2Refined-S15.065_sub	0.631196187564504	Proteobacteria	0.303932056844652
SPAdes-MetaBAT2Refined-S15.15_sub	0.69131949954171	Proteobacteria	0.365352762738377
SPAdes-MetaBAT2Refined-S15.27	0.616304816390839	Proteobacteria	0.31533437927046
SPAdes-MetaBAT2Refined-S15.6	0.387845897966722	Proteobacteria	0.235699549680206
SPAdes-MetaBAT2Refined-S15.75	0.492868071589834	Proteobacteria	0.217692406828507
